;num_obs;lambda;metric
0;25;0.001;0.5
1;25;0.0011721022975334804;0.5
2;25;0.0013738237958832624;0.5333333333333333
3;25;0.0016102620275609393;0.5333333333333333
4;25;0.0018873918221350976;0.5333333333333333
5;25;0.00221221629107045;0.5333333333333333
6;25;0.002592943797404667;0.5333333333333333
7;25;0.0030391953823131978;0.5333333333333333
8;25;0.003562247890262444;0.5333333333333333
9;25;0.0041753189365604;0.5333333333333333
10;25;0.004893900918477494;0.5333333333333333
11;25;0.005736152510448681;0.5333333333333333
12;25;0.006723357536499335;0.5333333333333333
13;25;0.007880462815669913;0.5333333333333333
14;25;0.009236708571873866;0.5333333333333333
15;25;0.010826367338740546;0.5333333333333333
16;25;0.01268961003167922;0.4666666666666667
17;25;0.01487352107293511;0.5
18;25;0.017433288221999882;0.4666666666666667
19;25;0.020433597178569417;0.43333333333333335
20;25;0.02395026619987486;0.4
21;25;0.02807216203941177;0.36666666666666664
22;25;0.03290344562312668;0.43333333333333335
23;25;0.03856620421163472;0.4
24;25;0.04520353656360243;0.4666666666666667
25;25;0.05298316906283707;0.5
26;25;0.06210169418915616;0.5
27;25;0.0727895384398315;0.5
28;25;0.08531678524172806;0.5
29;25;0.1;0.5
30;72;0.001;0.5
31;72;0.0011721022975334804;0.5
32;72;0.0013738237958832624;0.5
33;72;0.0016102620275609393;0.5
34;72;0.0018873918221350976;0.5333333333333333
35;72;0.00221221629107045;0.5
36;72;0.002592943797404667;0.5
37;72;0.0030391953823131978;0.5333333333333333
38;72;0.003562247890262444;0.5333333333333333
39;72;0.0041753189365604;0.5333333333333333
40;72;0.004893900918477494;0.5
41;72;0.005736152510448681;0.5333333333333333
42;72;0.006723357536499335;0.5333333333333333
43;72;0.007880462815669913;0.5666666666666667
44;72;0.009236708571873866;0.5666666666666667
45;72;0.010826367338740546;0.5666666666666667
46;72;0.01268961003167922;0.5333333333333333
47;72;0.01487352107293511;0.4666666666666667
48;72;0.017433288221999882;0.4666666666666667
49;72;0.020433597178569417;0.4666666666666667
50;72;0.02395026619987486;0.5
51;72;0.02807216203941177;0.4666666666666667
52;72;0.03290344562312668;0.4666666666666667
53;72;0.03856620421163472;0.5333333333333333
54;72;0.04520353656360243;0.5
55;72;0.05298316906283707;0.5
56;72;0.06210169418915616;0.5
57;72;0.0727895384398315;0.5
58;72;0.08531678524172806;0.5
59;72;0.1;0.5
60;208;0.001;0.5333333333333333
61;208;0.0011721022975334804;0.5333333333333333
