;num_obs;lambda;metric
0;25;0.001;0.7099236641221374
1;25;0.0011721022975334804;0.7027027027027026
2;25;0.0013738237958832624;0.6823529411764705
3;25;0.0016102620275609393;0.6771653543307087
4;25;0.0018873918221350976;0.6772908366533864
5;25;0.00221221629107045;0.6929133858267716
6;25;0.002592943797404667;0.688
7;25;0.0030391953823131978;0.685483870967742
8;25;0.003562247890262444;0.6694214876033058
9;25;0.0041753189365604;0.6610169491525424
10;25;0.004893900918477494;0.6553191489361703
11;25;0.005736152510448681;0.6638297872340425
12;25;0.006723357536499335;0.6521739130434783
13;25;0.007880462815669913;0.6343612334801761
14;25;0.009236708571873866;0.6367713004484304
15;25;0.010826367338740546;0.6301369863013698
16;25;0.01268961003167922;0.647887323943662
17;25;0.01487352107293511;0.6570048309178743
18;25;0.017433288221999882;0.6532663316582915
19;25;0.020433597178569417;0.6530612244897959
20;25;0.02395026619987486;0.6486486486486486
21;25;0.02807216203941177;0.6408839779005525
22;25;0.03290344562312668;0.6206896551724137
23;25;0.03856620421163472;0.5964912280701754
24;25;0.04520353656360243;0.5714285714285714
25;25;0.05298316906283707;0.5609756097560975
26;25;0.06210169418915616;0.5569620253164558
27;25;0.0727895384398315;0.5033112582781457
28;25;0.08531678524172806;0.49664429530201337
29;25;0.1;0.4625850340136054
30;56;0.001;0.732283464566929
31;56;0.0011721022975334804;0.7272727272727273
32;56;0.0013738237958832624;0.7301587301587302
33;56;0.0016102620275609393;0.7228915662650602
34;56;0.0018873918221350976;0.7265306122448979
35;56;0.00221221629107045;0.7325102880658436
36;56;0.002592943797404667;0.725
37;56;0.0030391953823131978;0.7280334728033472
38;56;0.003562247890262444;0.7280334728033472
39;56;0.0041753189365604;0.7310924369747899
40;56;0.004893900918477494;0.7372881355932204
41;56;0.005736152510448681;0.7532467532467533
42;56;0.006723357536499335;0.759825327510917
43;56;0.007880462815669913;0.7822222222222223
44;56;0.009236708571873866;0.7782805429864255
45;56;0.010826367338740546;0.7699530516431925
46;56;0.01268961003167922;0.7439613526570049
47;56;0.01487352107293511;0.7450980392156863
48;56;0.017433288221999882;0.7309644670050761
49;56;0.020433597178569417;0.7329842931937173
50;56;0.02395026619987486;0.7135135135135134
51;56;0.02807216203941177;0.7005649717514124
52;56;0.03290344562312668;0.6666666666666667
53;56;0.03856620421163472;0.6227544910179641
54;56;0.04520353656360243;0.6172839506172839
55;56;0.05298316906283707;0.5859872611464969
56;56;0.06210169418915616;0.5584415584415585
57;56;0.0727895384398315;0.5526315789473685
58;56;0.08531678524172806;0.5333333333333333
59;56;0.1;0.4861111111111111
60;128;0.001;0.7081712062256809
61;128;0.0011721022975334804;0.7165354330708661
62;128;0.0013738237958832624;0.7165354330708661
63;128;0.0016102620275609393;0.7171314741035856
64;128;0.0018873918221350976;0.72
65;128;0.00221221629107045;0.7258064516129032
66;128;0.002592943797404667;0.7368421052631579
67;128;0.0030391953823131978;0.7398373983739837
68;128;0.003562247890262444;0.7385892116182573
69;128;0.0041753189365604;0.7499999999999999
70;128;0.004893900918477494;0.7377777777777776
71;128;0.005736152510448681;0.7397260273972602
72;128;0.006723357536499335;0.75
73;128;0.007880462815669913;0.7439613526570049
74;128;0.009236708571873866;0.7414634146341463
75;128;0.010826367338740546;0.7524752475247526
76;128;0.01268961003167922;0.7437185929648242
77;128;0.01487352107293511;0.7346938775510204
78;128;0.017433288221999882;0.7395833333333333
79;128;0.020433597178569417;0.7282608695652174
80;128;0.02395026619987486;0.7078651685393258
81;128;0.02807216203941177;0.6971428571428572
82;128;0.03290344562312668;0.6705882352941176
83;128;0.03856620421163472;0.6506024096385542
84;128;0.04520353656360243;0.6
85;128;0.05298316906283707;0.5714285714285715
86;128;0.06210169418915616;0.523489932885906
87;128;0.0727895384398315;0.5068493150684932
88;128;0.08531678524172806;0.5068493150684932
89;128;0.1;0.4714285714285714
90;291;0.001;0.734375
91;291;0.0011721022975334804;0.7372549019607844
92;291;0.0013738237958832624;0.744
93;291;0.0016102620275609393;0.7499999999999999
94;291;0.0018873918221350976;0.7622950819672131
95;291;0.00221221629107045;0.7666666666666666
96;291;0.002592943797404667;0.7652173913043478
97;291;0.0030391953823131978;0.7787610619469026
98;291;0.003562247890262444;0.7822222222222223
99;291;0.0041753189365604;0.7802690582959642
100;291;0.004893900918477494;0.7802690582959642
101;291;0.005736152510448681;0.8
102;291;0.006723357536499335;0.7904761904761904
103;291;0.007880462815669913;0.7902439024390244
104;291;0.009236708571873866;0.8059701492537313
105;291;0.010826367338740546;0.7860696517412934
106;291;0.01268961003167922;0.78125
107;291;0.01487352107293511;0.7724867724867724
108;291;0.017433288221999882;0.7431693989071039
109;291;0.020433597178569417;0.7444444444444445
110;291;0.02395026619987486;0.7272727272727273
111;291;0.02807216203941177;0.6976744186046512
112;291;0.03290344562312668;0.6785714285714285
113;291;0.03856620421163472;0.6463414634146342
114;291;0.04520353656360243;0.6163522012578617
