;num_obs;lambda;metric
0;25;0.001;0.12749003984063748
1;25;0.0011721022975334804;0.128
2;25;0.0013738237958832624;0.12955465587044532
3;25;0.0016102620275609393;0.13061224489795917
4;25;0.0018873918221350976;0.12295081967213115
5;25;0.00221221629107045;0.12295081967213115
6;25;0.002592943797404667;0.12295081967213115
7;25;0.0030391953823131978;0.125
8;25;0.003562247890262444;0.12820512820512822
9;25;0.0041753189365604;0.13043478260869565
10;25;0.004893900918477494;0.13392857142857145
11;25;0.005736152510448681;0.14018691588785046
12;25;0.006723357536499335;0.14563106796116504
13;25;0.007880462815669913;0.15384615384615383
14;25;0.009236708571873866;0.1564245810055866
15;25;0.010826367338740546;0.13953488372093026
16;25;0.01268961003167922;0.15483870967741933
17;25;0.01487352107293511;0.15602836879432624
18;25;0.017433288221999882;0.176
19;25;0.020433597178569417;0.1851851851851852
20;25;0.02395026619987486;0.1702127659574468
21;25;0.02807216203941177;0.2285714285714286
22;25;0.03290344562312668;0.21052631578947367
23;25;0.03856620421163472;0.186046511627907
24;25;0.04520353656360243;0.23529411764705882
25;25;0.05298316906283707;0.24
26;25;0.06210169418915616;0.2857142857142857
27;25;0.0727895384398315;0.21052631578947367
28;25;0.08531678524172806;0.1111111111111111
29;25;0.1;0.1111111111111111
30;56;0.001;0.13061224489795917
31;56;0.0011721022975334804;0.13389121338912136
32;56;0.0013738237958832624;0.1350210970464135
33;56;0.0016102620275609393;0.1373390557939914
34;56;0.0018873918221350976;0.1385281385281385
35;56;0.00221221629107045;0.14035087719298245
36;56;0.002592943797404667;0.14222222222222225
37;56;0.0030391953823131978;0.136986301369863
38;56;0.003562247890262444;0.14084507042253522
39;56;0.0041753189365604;0.14778325123152708
40;56;0.004893900918477494;0.15384615384615383
41;56;0.005736152510448681;0.15957446808510636
42;56;0.006723357536499335;0.13559322033898305
43;56;0.007880462815669913;0.13749999999999998
44;56;0.009236708571873866;0.14965986394557823
45;56;0.010826367338740546;0.1692307692307692
46;56;0.01268961003167922;0.19642857142857142
47;56;0.01487352107293511;0.18181818181818182
48;56;0.017433288221999882;0.21176470588235297
49;56;0.020433597178569417;0.19718309859154928
50;56;0.02395026619987486;0.23076923076923078
51;56;0.02807216203941177;0.2926829268292683
52;56;0.03290344562312668;0.33333333333333337
53;56;0.03856620421163472;0.35714285714285715
54;56;0.04520353656360243;0.2857142857142857
55;56;0.05298316906283707;0.1111111111111111
56;56;0.06210169418915616;0.1111111111111111
57;56;0.0727895384398315;0.0
58;56;0.08531678524172806;0.0
59;56;0.1;0.0
60;128;0.001;0.13934426229508198
61;128;0.0011721022975334804;0.13991769547325103
62;128;0.0013738237958832624;0.14285714285714288
63;128;0.0016102620275609393;0.1459227467811159
64;128;0.0018873918221350976;0.15044247787610618
65;128;0.00221221629107045;0.15384615384615385
66;128;0.002592943797404667;0.16113744075829384
67;128;0.0030391953823131978;0.16425120772946858
68;128;0.003562247890262444;0.16748768472906406
69;128;0.0041753189365604;0.18279569892473116
70;128;0.004893900918477494;0.18497109826589592
71;128;0.005736152510448681;0.20253164556962025
72;128;0.006723357536499335;0.2222222222222222
73;128;0.007880462815669913;0.24242424242424238
74;128;0.009236708571873866;0.22033898305084745
75;128;0.010826367338740546;0.25
76;128;0.01268961003167922;0.3478260869565218
77;128;0.01487352107293511;0.45283018867924524
78;128;0.017433288221999882;0.5116279069767442
79;128;0.020433597178569417;0.5714285714285715
80;128;0.02395026619987486;0.5333333333333333
81;128;0.02807216203941177;0.5384615384615384
82;128;0.03290344562312668;0.45454545454545453
83;128;0.03856620421163472;0.21052631578947367
84;128;0.04520353656360243;0.1111111111111111
85;128;0.05298316906283707;0.0
86;128;0.06210169418915616;0.0
87;128;0.0727895384398315;0.0
88;128;0.08531678524172806;0.0
89;128;0.1;0.0
90;291;0.001;0.14718614718614717
91;291;0.0011721022975334804;0.15044247787610618
92;291;0.0013738237958832624;0.15454545454545454
93;291;0.0016102620275609393;0.16037735849056603
94;291;0.0018873918221350976;0.16585365853658537
95;291;0.00221221629107045;0.1752577319587629
96;291;0.002592943797404667;0.18681318681318682
97;291;0.0030391953823131978;0.19277108433734938
98;291;0.003562247890262444;0.20915032679738563
99;291;0.0041753189365604;0.19718309859154928
100;291;0.004893900918477494;0.21212121212121215
101;291;0.005736152510448681;0.22807017543859648
102;291;0.006723357536499335;0.2680412371134021
103;291;0.007880462815669913;0.3209876543209877
104;291;0.009236708571873866;0.37681159420289856
105;291;0.010826367338740546;0.42553191489361697
106;291;0.01268961003167922;0.5263157894736842
107;291;0.01487352107293511;0.625
108;291;0.017433288221999882;0.6206896551724139
109;291;0.020433597178569417;0.5714285714285714
110;291;0.02395026619987486;0.4166666666666667
111;291;0.02807216203941177;0.38095238095238093
112;291;0.03290344562312668;0.38095238095238093
113;291;0.03856620421163472;0.1111111111111111
114;291;0.04520353656360243;0.0
115;291;0.05298316906283707;0.0
116;291;0.06210169418915616;0.0
117;291;0.0727895384398315;0.0
118;291;0.08531678524172806;0.0
119;291;0.1;0.0
120;661;0.001;0.14479638009049775
121;661;0.0011721022975334804;0.15094339622641512
122;661;0.0013738237958832624;0.15999999999999998
123;661;0.0016102620275609393;0.16931216931216933
124;661;0.0018873918221350976;0.18285714285714286
125;661;0.00221221629107045;0.18823529411764706
126;661;0.002592943797404667;0.20779220779220778
127;661;0.0030391953823131978;0.23357664233576642
128;661;0.003562247890262444;0.27350427350427353
129;661;0.0041753189365604;0.27522935779816515
130;661;0.004893900918477494;0.3146067415730337
131;661;0.005736152510448681;0.368421052631579
132;661;0.006723357536499335;0.42622950819672134
133;661;0.007880462815669913;0.5531914893617021
134;661;0.009236708571873866;0.7096774193548386
135;661;0.010826367338740546;0.7142857142857143
136;661;0.01268961003167922;0.7142857142857143
137;661;0.01487352107293511;0.56
138;661;0.017433288221999882;0.4347826086956522
139;661;0.020433597178569417;0.45454545454545453
140;661;0.02395026619987486;0.45454545454545453
141;661;0.02807216203941177;0.3
142;661;0.03290344562312668;0.3
143;661;0.03856620421163472;0.1111111111111111
144;661;0.04520353656360243;0.0
145;661;0.05298316906283707;0.0
146;661;0.06210169418915616;0.0
147;661;0.0727895384398315;0.0
148;661;0.08531678524172806;0.0
149;661;0.1;0.0
150;1500;0.001;0.16915422885572137
151;1500;0.0011721022975334804;0.17616580310880828
152;1500;0.0013738237958832624;0.18497109826589592
153;1500;0.0016102620275609393;0.20253164556962025
154;1500;0.0018873918221350976;0.22695035460992904
155;1500;0.00221221629107045;0.2644628099173554
156;1500;0.002592943797404667;0.2807017543859649
157;1500;0.0030391953823131978;0.3191489361702128
158;1500;0.003562247890262444;0.36585365853658536
159;1500;0.0041753189365604;0.4411764705882352
160;1500;0.004893900918477494;0.5283018867924528
161;1500;0.005736152510448681;0.6363636363636364
162;1500;0.006723357536499335;0.8125
163;1500;0.007880462815669913;0.8387096774193549
164;1500;0.009236708571873866;0.7586206896551724
165;1500;0.010826367338740546;0.7142857142857143
166;1500;0.01268961003167922;0.6399999999999999
167;1500;0.01487352107293511;0.6399999999999999
168;1500;0.017433288221999882;0.5833333333333334
169;1500;0.020433597178569417;0.5217391304347826
170;1500;0.02395026619987486;0.38095238095238093
171;1500;0.02807216203941177;0.3
172;1500;0.03290344562312668;0.3
173;1500;0.03856620421163472;0.0
174;1500;0.04520353656360243;0.0
175;1500;0.05298316906283707;0.0
176;1500;0.06210169418915616;0.0
177;1500;0.0727895384398315;0.0
178;1500;0.08531678524172806;0.0
179;1500;0.1;0.0
0;25;0.001;0.18390804597701152
1;25;0.0011721022975334804;0.1853281853281853
2;25;0.0013738237958832624;0.1875
3;25;0.0016102620275609393;0.18110236220472442
4;25;0.0018873918221350976;0.17460317460317462
5;25;0.00221221629107045;0.16935483870967744
6;25;0.002592943797404667;0.17500000000000002
7;25;0.0030391953823131978;0.1687763713080169
8;25;0.003562247890262444;0.1739130434782609
9;25;0.0041753189365604;0.1777777777777778
10;25;0.004893900918477494;0.182648401826484
11;25;0.005736152510448681;0.18518518518518517
12;25;0.006723357536499335;0.1941747572815534
13;25;0.007880462815669913;0.2
14;25;0.009236708571873866;0.19889502762430938
15;25;0.010826367338740546;0.18292682926829268
16;25;0.01268961003167922;0.2027027027027027
17;25;0.01487352107293511;0.20588235294117643
18;25;0.017433288221999882;0.18181818181818182
19;25;0.020433597178569417;0.19819819819819823
20;25;0.02395026619987486;0.1473684210526316
21;25;0.02807216203941177;0.15584415584415584
22;25;0.03290344562312668;0.15151515151515152
23;25;0.03856620421163472;0.21276595744680854
24;25;0.04520353656360243;0.17142857142857143
25;25;0.05298316906283707;0.12903225806451613
26;25;0.06210169418915616;0.06896551724137932
27;25;0.0727895384398315;0.0
28;25;0.08531678524172806;0.0
29;25;0.1;0.0
30;56;0.001;0.17898832684824903
31;56;0.0011721022975334804;0.1732283464566929
32;56;0.0013738237958832624;0.1732283464566929
33;56;0.0016102620275609393;0.16666666666666669
34;56;0.0018873918221350976;0.17004048582995954
35;56;0.00221221629107045;0.17283950617283952
36;56;0.002592943797404667;0.1623931623931624
37;56;0.0030391953823131978;0.16814159292035397
38;56;0.003562247890262444;0.17194570135746606
39;56;0.0041753189365604;0.1784037558685446
40;56;0.004893900918477494;0.17560975609756097
41;56;0.005736152510448681;0.18181818181818182
42;56;0.006723357536499335;0.19148936170212763
43;56;0.007880462815669913;0.1942857142857143
44;56;0.009236708571873866;0.19999999999999998
45;56;0.010826367338740546;0.21917808219178084
46;56;0.01268961003167922;0.22222222222222218
47;56;0.01487352107293511;0.23529411764705882
48;56;0.017433288221999882;0.27083333333333337
49;56;0.020433597178569417;0.24657534246575344
50;56;0.02395026619987486;0.25
51;56;0.02807216203941177;0.21276595744680854
52;56;0.03290344562312668;0.10526315789473685
53;56;0.03856620421163472;0.058823529411764705
54;56;0.04520353656360243;0.06896551724137932
55;56;0.05298316906283707;0.0
56;56;0.06210169418915616;0.0
57;56;0.0727895384398315;0.0
58;56;0.08531678524172806;0.0
59;56;0.1;0.0
60;128;0.001;0.1875
61;128;0.0011721022975334804;0.19123505976095617
62;128;0.0013738237958832624;0.19277108433734935
63;128;0.0016102620275609393;0.19591836734693877
64;128;0.0018873918221350976;0.19753086419753088
65;128;0.00221221629107045;0.20168067226890754
66;128;0.002592943797404667;0.20087336244541487
67;128;0.0030391953823131978;0.20720720720720723
68;128;0.003562247890262444;0.19534883720930232
69;128;0.0041753189365604;0.1932367149758454
70;128;0.004893900918477494;0.20512820512820512
71;128;0.005736152510448681;0.20994475138121546
72;128;0.006723357536499335;0.2155688622754491
73;128;0.007880462815669913;0.21621621621621623
74;128;0.009236708571873866;0.22580645161290322
75;128;0.010826367338740546;0.20754716981132074
76;128;0.01268961003167922;0.2716049382716049
77;128;0.01487352107293511;0.24242424242424243
78;128;0.017433288221999882;0.21739130434782608
79;128;0.020433597178569417;0.11428571428571428
80;128;0.02395026619987486;0.13793103448275865
81;128;0.02807216203941177;0.07692307692307693
82;128;0.03290344562312668;0.07692307692307693
83;128;0.03856620421163472;0.07692307692307693
84;128;0.04520353656360243;0.07692307692307693
85;128;0.05298316906283707;0.0
86;128;0.06210169418915616;0.0
87;128;0.0727895384398315;0.0
88;128;0.08531678524172806;0.0
89;128;0.1;0.0
90;291;0.001;0.18930041152263374
91;291;0.0011721022975334804;0.19166666666666668
92;291;0.0013738237958832624;0.1965811965811966
93;291;0.0016102620275609393;0.20175438596491227
94;291;0.0018873918221350976;0.21004566210045664
95;291;0.00221221629107045;0.20754716981132076
96;291;0.002592943797404667;0.20202020202020204
97;291;0.0030391953823131978;0.2127659574468085
98;291;0.003562247890262444;0.22471910112359553
99;291;0.0041753189365604;0.25157232704402516
100;291;0.004893900918477494;0.272108843537415
101;291;0.005736152510448681;0.31007751937984496
102;291;0.006723357536499335;0.34285714285714286
103;291;0.007880462815669913;0.32098765432098764
104;291;0.009236708571873866;0.3333333333333333
105;291;0.010826367338740546;0.33898305084745767
106;291;0.01268961003167922;0.391304347826087
107;291;0.01487352107293511;0.42857142857142855
108;291;0.017433288221999882;0.43243243243243246
109;291;0.020433597178569417;0.2758620689655173
110;291;0.02395026619987486;0.21428571428571425
111;291;0.02807216203941177;0.07692307692307693
112;291;0.03290344562312668;0.07692307692307693
113;291;0.03856620421163472;0.07692307692307693
114;291;0.04520353656360243;0.07692307692307693
115;291;0.05298316906283707;0.0
116;291;0.06210169418915616;0.0
117;291;0.0727895384398315;0.0
118;291;0.08531678524172806;0.0
119;291;0.1;0.0
120;661;0.001;0.2192982456140351
121;661;0.0011721022975334804;0.228310502283105
122;661;0.0013738237958832624;0.2318840579710145
123;661;0.0016102620275609393;0.2323232323232323
124;661;0.0018873918221350976;0.2408376963350785
125;661;0.00221221629107045;0.2555555555555556
126;661;0.002592943797404667;0.2558139534883721
127;661;0.0030391953823131978;0.2802547770700637
128;661;0.003562247890262444;0.2857142857142857
129;661;0.0041753189365604;0.3333333333333333
130;661;0.004893900918477494;0.404040404040404
131;661;0.005736152510448681;0.4444444444444445
132;661;0.006723357536499335;0.46575342465753433
133;661;0.007880462815669913;0.5483870967741935
134;661;0.009236708571873866;0.576923076923077
135;661;0.010826367338740546;0.5531914893617023
136;661;0.01268961003167922;0.6341463414634146
137;661;0.01487352107293511;0.6153846153846153
138;661;0.017433288221999882;0.631578947368421
139;661;0.020433597178569417;0.5294117647058824
140;661;0.02395026619987486;0.2758620689655173
141;661;0.02807216203941177;0.14814814814814814
142;661;0.03290344562312668;0.07692307692307693
143;661;0.03856620421163472;0.0
144;661;0.04520353656360243;0.0
145;661;0.05298316906283707;0.0
146;661;0.06210169418915616;0.0
147;661;0.0727895384398315;0.0
148;661;0.08531678524172806;0.0
149;661;0.1;0.0
150;1500;0.001;0.24390243902439027
151;1500;0.0011721022975334804;0.25773195876288657
152;1500;0.0013738237958832624;0.2840909090909091
153;1500;0.0016102620275609393;0.3067484662576687
154;1500;0.0018873918221350976;0.3448275862068966
155;1500;0.00221221629107045;0.373134328358209
156;1500;0.002592943797404667;0.3865546218487395
157;1500;0.0030391953823131978;0.44
158;1500;0.003562247890262444;0.5238095238095238
159;1500;0.0041753189365604;0.5405405405405406
160;1500;0.004893900918477494;0.6349206349206348
161;1500;0.005736152510448681;0.7272727272727272
162;1500;0.006723357536499335;0.8000000000000002
163;1500;0.007880462815669913;0.7727272727272727
164;1500;0.009236708571873866;0.7499999999999999
165;1500;0.010826367338740546;0.717948717948718
166;1500;0.01268961003167922;0.6842105263157895
167;1500;0.01487352107293511;0.6842105263157895
168;1500;0.017433288221999882;0.48484848484848486
169;1500;0.020433597178569417;0.3870967741935484
170;1500;0.02395026619987486;0.33333333333333337
171;1500;0.02807216203941177;0.14814814814814814
172;1500;0.03290344562312668;0.14814814814814814
173;1500;0.03856620421163472;0.07692307692307693
174;1500;0.04520353656360243;0.0
175;1500;0.05298316906283707;0.0
176;1500;0.06210169418915616;0.0
177;1500;0.0727895384398315;0.0
178;1500;0.08531678524172806;0.0
179;1500;0.1;0.0
0;25;0.001;0.18461538461538463
1;25;0.0011721022975334804;0.1875
2;25;0.0013738237958832624;0.1904761904761905
3;25;0.0016102620275609393;0.1935483870967742
4;25;0.0018873918221350976;0.19591836734693877
5;25;0.00221221629107045;0.1991701244813278
6;25;0.002592943797404667;0.20338983050847453
7;25;0.0030391953823131978;0.19742489270386268
8;25;0.003562247890262444;0.1769911504424779
9;25;0.0041753189365604;0.1801801801801802
10;25;0.004893900918477494;0.18779342723004697
11;25;0.005736152510448681;0.1941747572815534
12;25;0.006723357536499335;0.2040816326530612
13;25;0.007880462815669913;0.20105820105820107
14;25;0.009236708571873866;0.1956521739130435
