;num_obs;lambda;metric
0;25;0.001;0.1575757575757576
1;25;0.0011721022975334804;0.15853658536585366
2;25;0.0013738237958832624;0.15950920245398773
3;25;0.0016102620275609393;0.16149068322981366
4;25;0.0018873918221350976;0.16249999999999998
5;25;0.00221221629107045;0.16352201257861634
6;25;0.002592943797404667;0.15384615384615385
7;25;0.0030391953823131978;0.15686274509803924
8;25;0.003562247890262444;0.15789473684210528
9;25;0.0041753189365604;0.1621621621621622
10;25;0.004893900918477494;0.16551724137931034
11;25;0.005736152510448681;0.17391304347826086
12;25;0.006723357536499335;0.16666666666666666
13;25;0.007880462815669913;0.1550387596899225
14;25;0.009236708571873866;0.16129032258064516
15;25;0.010826367338740546;0.15254237288135591
16;25;0.01268961003167922;0.14953271028037382
17;25;0.01487352107293511;0.16161616161616163
18;25;0.017433288221999882;0.17391304347826086
19;25;0.020433597178569417;0.17721518987341772
20;25;0.02395026619987486;0.19444444444444445
21;25;0.02807216203941177;0.22950819672131148
22;25;0.03290344562312668;0.23529411764705882
23;25;0.03856620421163472;0.25
24;25;0.04520353656360243;0.2580645161290323
25;25;0.05298316906283707;0.08333333333333334
26;25;0.06210169418915616;0.1111111111111111
27;25;0.0727895384398315;0.0
28;25;0.08531678524172806;0.0
29;25;0.1;0.0
30;56;0.001;0.14999999999999997
31;56;0.0011721022975334804;0.15384615384615385
32;56;0.0013738237958832624;0.15789473684210528
33;56;0.0016102620275609393;0.15894039735099338
34;56;0.0018873918221350976;0.16
35;56;0.00221221629107045;0.1643835616438356
36;56;0.002592943797404667;0.15492957746478872
37;56;0.0030391953823131978;0.15827338129496402
38;56;0.003562247890262444;0.14925373134328357
39;56;0.0041753189365604;0.140625
40;56;0.004893900918477494;0.15
41;56;0.005736152510448681;0.1592920353982301
42;56;0.006723357536499335;0.16981132075471697
43;56;0.007880462815669913;0.17647058823529413
44;56;0.009236708571873866;0.1894736842105263
45;56;0.010826367338740546;0.20454545454545456
46;56;0.01268961003167922;0.19999999999999998
47;56;0.01487352107293511;0.18461538461538463
48;56;0.017433288221999882;0.20408163265306123
49;56;0.020433597178569417;0.1904761904761905
50;56;0.02395026619987486;0.20689655172413793
51;56;0.02807216203941177;0.16666666666666669
52;56;0.03290344562312668;0.1
53;56;0.03856620421163472;0.1111111111111111
54;56;0.04520353656360243;0.0
55;56;0.05298316906283707;0.0
56;56;0.06210169418915616;0.0
57;56;0.0727895384398315;0.0
58;56;0.08531678524172806;0.0
59;56;0.1;0.0
60;128;0.001;0.15483870967741933
61;128;0.0011721022975334804;0.15789473684210528
62;128;0.0013738237958832624;0.14965986394557823
63;128;0.0016102620275609393;0.15492957746478872
64;128;0.0018873918221350976;0.15942028985507245
65;128;0.00221221629107045;0.16296296296296298
