;num_obs;lambda;metric
0;25;0.001;0.4383561643835616
1;25;0.0011721022975334804;0.4383561643835616
2;25;0.0013738237958832624;0.4383561643835616
3;25;0.0016102620275609393;0.4383561643835616
4;25;0.0018873918221350976;0.4444444444444445
5;25;0.00221221629107045;0.4444444444444445
6;25;0.002592943797404667;0.4444444444444445
7;25;0.0030391953823131978;0.45070422535211263
8;25;0.003562247890262444;0.45714285714285713
9;25;0.0041753189365604;0.45714285714285713
10;25;0.004893900918477494;0.47058823529411764
11;25;0.005736152510448681;0.43750000000000006
12;25;0.006723357536499335;0.44444444444444436
13;25;0.007880462815669913;0.4666666666666667
14;25;0.009236708571873866;0.4999999999999999
15;25;0.010826367338740546;0.5283018867924528
16;25;0.01268961003167922;0.5490196078431373
17;25;0.01487352107293511;0.5833333333333334
18;25;0.017433288221999882;0.5957446808510638
19;25;0.020433597178569417;0.5454545454545454
20;25;0.02395026619987486;0.6285714285714286
21;25;0.02807216203941177;0.6451612903225806
22;25;0.03290344562312668;0.5714285714285715
23;25;0.03856620421163472;0.56
24;25;0.04520353656360243;0.5833333333333334
25;25;0.05298316906283707;0.5217391304347825
26;25;0.06210169418915616;0.45454545454545453
27;25;0.0727895384398315;0.45454545454545453
28;25;0.08531678524172806;0.4
29;25;0.1;0.4
30;56;0.001;0.4347826086956522
31;56;0.0011721022975334804;0.4347826086956522
32;56;0.0013738237958832624;0.4347826086956522
33;56;0.0016102620275609393;0.44117647058823534
34;56;0.0018873918221350976;0.42424242424242425
35;56;0.00221221629107045;0.39999999999999997
36;56;0.002592943797404667;0.40625
37;56;0.0030391953823131978;0.41935483870967744
38;56;0.003562247890262444;0.41935483870967744
39;56;0.0041753189365604;0.4333333333333334
40;56;0.004893900918477494;0.4333333333333334
41;56;0.005736152510448681;0.459016393442623
42;56;0.006723357536499335;0.48275862068965514
43;56;0.007880462815669913;0.509090909090909
44;56;0.009236708571873866;0.5714285714285714
45;56;0.010826367338740546;0.608695652173913
46;56;0.01268961003167922;0.6666666666666667
47;56;0.01487352107293511;0.7222222222222223
48;56;0.017433288221999882;0.7058823529411765
49;56;0.020433597178569417;0.7096774193548386
50;56;0.02395026619987486;0.7142857142857143
51;56;0.02807216203941177;0.6923076923076923
52;56;0.03290344562312668;0.64
53;56;0.03856620421163472;0.5217391304347825
54;56;0.04520353656360243;0.45454545454545453
55;56;0.05298316906283707;0.45454545454545453
56;56;0.06210169418915616;0.38095238095238093
57;56;0.0727895384398315;0.38095238095238093
58;56;0.08531678524172806;0.4
59;56;0.1;0.4
60;128;0.001;0.4444444444444445
61;128;0.0011721022975334804;0.45070422535211263
62;128;0.0013738237958832624;0.45070422535211263
63;128;0.0016102620275609393;0.45714285714285713
64;128;0.0018873918221350976;0.47058823529411764
65;128;0.00221221629107045;0.48484848484848486
66;128;0.002592943797404667;0.5079365079365079
67;128;0.0030391953823131978;0.5161290322580645
68;128;0.003562247890262444;0.5517241379310345
69;128;0.0041753189365604;0.5818181818181819
70;128;0.004893900918477494;0.6153846153846153
71;128;0.005736152510448681;0.6808510638297872
72;128;0.006723357536499335;0.7272727272727273
73;128;0.007880462815669913;0.7804878048780487
74;128;0.009236708571873866;0.8
75;128;0.010826367338740546;0.8648648648648648
76;128;0.01268961003167922;0.8571428571428572
77;128;0.01487352107293511;0.8387096774193549
78;128;0.017433288221999882;0.7999999999999999
79;128;0.020433597178569417;0.8148148148148148
80;128;0.02395026619987486;0.6666666666666666
81;128;0.02807216203941177;0.6666666666666666
82;128;0.03290344562312668;0.6666666666666666
83;128;0.03856620421163472;0.6666666666666666
84;128;0.04520353656360243;0.6666666666666666
85;128;0.05298316906283707;0.6086956521739131
86;128;0.06210169418915616;0.5454545454545454
87;128;0.0727895384398315;0.5454545454545454
88;128;0.08531678524172806;0.5454545454545454
89;128;0.1;0.47619047619047616
90;291;0.001;0.41666666666666663
91;291;0.0011721022975334804;0.44117647058823534
92;291;0.0013738237958832624;0.4761904761904763
93;291;0.0016102620275609393;0.4761904761904763
94;291;0.0018873918221350976;0.49180327868852464
95;291;0.00221221629107045;0.5172413793103449
96;291;0.002592943797404667;0.5263157894736842
97;291;0.0030391953823131978;0.5263157894736842
98;291;0.003562247890262444;0.5660377358490566
99;291;0.0041753189365604;0.6
100;291;0.004893900918477494;0.625
101;291;0.005736152510448681;0.6521739130434783
102;291;0.006723357536499335;0.6976744186046512
103;291;0.007880462815669913;0.717948717948718
104;291;0.009236708571873866;0.7368421052631579
105;291;0.010826367338740546;0.823529411764706
106;291;0.01268961003167922;0.7741935483870969
107;291;0.01487352107293511;0.7999999999999999
108;291;0.017433288221999882;0.8571428571428571
109;291;0.020433597178569417;0.8148148148148148
110;291;0.02395026619987486;0.7692307692307693
111;291;0.02807216203941177;0.7692307692307693
112;291;0.03290344562312668;0.6666666666666666
113;291;0.03856620421163472;0.6666666666666666
114;291;0.04520353656360243;0.6666666666666666
115;291;0.05298316906283707;0.6086956521739131
116;291;0.06210169418915616;0.6086956521739131
117;291;0.0727895384398315;0.5454545454545454
118;291;0.08531678524172806;0.47619047619047616
119;291;0.1;0.47619047619047616
120;661;0.001;0.45454545454545453
121;661;0.0011721022975334804;0.46875
122;661;0.0013738237958832624;0.4761904761904763
123;661;0.0016102620275609393;0.4666666666666667
124;661;0.0018873918221350976;0.45614035087719296
125;661;0.00221221629107045;0.4727272727272727
126;661;0.002592943797404667;0.48
127;661;0.0030391953823131978;0.48979591836734687
128;661;0.003562247890262444;0.5714285714285714
129;661;0.0041753189365604;0.6
130;661;0.004893900918477494;0.631578947368421
131;661;0.005736152510448681;0.6666666666666665
132;661;0.006723357536499335;0.6857142857142857
133;661;0.007880462815669913;0.75
134;661;0.009236708571873866;0.7741935483870969
135;661;0.010826367338740546;0.7999999999999999
136;661;0.01268961003167922;0.7999999999999999
137;661;0.01487352107293511;0.8571428571428571
138;661;0.017433288221999882;0.8571428571428571
139;661;0.020433597178569417;0.8148148148148148
140;661;0.02395026619987486;0.7692307692307693
141;661;0.02807216203941177;0.72
142;661;0.03290344562312668;0.72
143;661;0.03856620421163472;0.6666666666666666
144;661;0.04520353656360243;0.6666666666666666
145;661;0.05298316906283707;0.6086956521739131
146;661;0.06210169418915616;0.5454545454545454
147;661;0.0727895384398315;0.4
148;661;0.08531678524172806;0.4
149;661;0.1;0.4
150;1500;0.001;0.5357142857142857
151;1500;0.0011721022975334804;0.5454545454545454
152;1500;0.0013738237958832624;0.5555555555555556
153;1500;0.0016102620275609393;0.5660377358490566
154;1500;0.0018873918221350976;0.6382978723404255
155;1500;0.00221221629107045;0.6363636363636364
156;1500;0.002592943797404667;0.6363636363636364
157;1500;0.0030391953823131978;0.7000000000000001
158;1500;0.003562247890262444;0.7000000000000001
159;1500;0.0041753189365604;0.7567567567567567
160;1500;0.004893900918477494;0.7567567567567567
161;1500;0.005736152510448681;0.7777777777777777
162;1500;0.006723357536499335;0.7999999999999999
163;1500;0.007880462815669913;0.8125
164;1500;0.009236708571873866;0.8387096774193549
165;1500;0.010826367338740546;0.8571428571428571
166;1500;0.01268961003167922;0.8571428571428571
167;1500;0.01487352107293511;0.8571428571428571
168;1500;0.017433288221999882;0.8571428571428571
169;1500;0.020433597178569417;0.8148148148148148
170;1500;0.02395026619987486;0.8148148148148148
171;1500;0.02807216203941177;0.7692307692307693
172;1500;0.03290344562312668;0.72
173;1500;0.03856620421163472;0.6666666666666666
174;1500;0.04520353656360243;0.6086956521739131
175;1500;0.05298316906283707;0.6086956521739131
176;1500;0.06210169418915616;0.6086956521739131
177;1500;0.0727895384398315;0.47619047619047616
178;1500;0.08531678524172806;0.4
179;1500;0.1;0.4
0;25;0.001;0.2905982905982906
1;25;0.0011721022975334804;0.29310344827586204
2;25;0.0013738237958832624;0.29310344827586204
3;25;0.0016102620275609393;0.29565217391304344
4;25;0.0018873918221350976;0.29565217391304344
5;25;0.00221221629107045;0.3008849557522124
6;25;0.002592943797404667;0.30357142857142855
7;25;0.0030391953823131978;0.30357142857142855
8;25;0.003562247890262444;0.30357142857142855
9;25;0.0041753189365604;0.3119266055045872
10;25;0.004893900918477494;0.3238095238095238
11;25;0.005736152510448681;0.30303030303030304
12;25;0.006723357536499335;0.32258064516129026
13;25;0.007880462815669913;0.3333333333333333
14;25;0.009236708571873866;0.3181818181818182
15;25;0.010826367338740546;0.32558139534883723
16;25;0.01268961003167922;0.3414634146341464
17;25;0.01487352107293511;0.38888888888888884
18;25;0.017433288221999882;0.4
19;25;0.020433597178569417;0.39999999999999997
20;25;0.02395026619987486;0.4
21;25;0.02807216203941177;0.4583333333333333
22;25;0.03290344562312668;0.4888888888888888
23;25;0.03856620421163472;0.5641025641025642
24;25;0.04520353656360243;0.6111111111111113
25;25;0.05298316906283707;0.6060606060606061
26;25;0.06210169418915616;0.6206896551724139
27;25;0.0727895384398315;0.6206896551724139
28;25;0.08531678524172806;0.6666666666666667
29;25;0.1;0.6923076923076924
30;56;0.001;0.2982456140350877
31;56;0.0011721022975334804;0.2831858407079646
32;56;0.0013738237958832624;0.28571428571428564
33;56;0.0016102620275609393;0.2882882882882883
34;56;0.0018873918221350976;0.2909090909090909
35;56;0.00221221629107045;0.29629629629629634
36;56;0.002592943797404667;0.28037383177570085
37;56;0.0030391953823131978;0.2912621359223301
38;56;0.003562247890262444;0.3
39;56;0.0041753189365604;0.3061224489795918
40;56;0.004893900918477494;0.31578947368421056
41;56;0.005736152510448681;0.3191489361702128
42;56;0.006723357536499335;0.3370786516853933
43;56;0.007880462815669913;0.34567901234567905
44;56;0.009236708571873866;0.368421052631579
45;56;0.010826367338740546;0.4
